GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
6,-10064.8097,-84062.262,-14602.694,234.39461550000001,-94127.0717,-14368.2993845,-108495.3710845
7,-10149.1416,-84438.6554,-14207.5767,234.001712,-94587.797,-13973.574988,-108561.37198800001
8,-10179.0645,-84616.59,-14154.8428,228.751572,-94795.6545,-13926.091228000001,-108721.74572800001
9,-10049.0384,-84550.683,-14294.483,237.48203900000001,-94599.72140000001,-14057.000961,-108656.72236100002
10,-10078.3549,-84829.0148,-13986.7198,236.7884305,-94907.36970000001,-13749.9313695,-108657.30106950001
11,-10120.6643,-84495.5666,-14319.445,237.3494555,-94616.23090000001,-14082.0955445,-108698.3264445
12,-10121.9979,-83955.8824,-14678.0373,236.46997299999998,-94077.8803,-14441.567327,-108519.447627
13,-10119.4799,-84168.7117,-14374.9755,238.4298515,-94288.1916,-14136.545648500001,-108424.73724850001
14,-10123.0061,-84202.1417,-14550.0301,237.4320235,-94325.14779999999,-14312.5980765,-108637.74587649999
15,-10117.9071,-83840.3584,-14742.0469,237.688333,-93958.2655,-14504.358567,-108462.624067
16,-10095.8337,-84132.6527,-14591.9168,236.61978299999998,-94228.48640000001,-14355.297017,-108583.78341700001
17,-10113.027,-84306.083,-14343.675,235.558654,-94419.11,-14108.116345999999,-108527.22634600001
18,-10053.1123,-83689.2818,-14740.992,239.612647,-93742.3941,-14501.379353,-108243.773453
19,-10073.4299,-84433.1194,-14204.221,234.6892615,-94506.5493,-13969.5317385,-108476.08103850001
20,-10017.7771,-84313.6787,-14388.11,238.64663700000003,-94331.4558,-14149.463363,-108480.919163
21,-10120.5283,-83956.9717,-14573.4109,239.0413885,-94077.5,-14334.369511500001,-108411.8695115
22,-10162.0978,-84207.4999,-14414.2258,235.6972215,-94369.5977,-14178.5285785,-108548.1262785
23,-10103.1317,-84391.9142,-14328.5946,233.27258450000002,-94495.0459,-14095.3220155,-108590.3679155
24,-10115.1397,-84199.2035,-14236.5186,235.60737,-94314.3432,-14000.91123,-108315.25443
25,-10040.3185,-84833.3218,-13832.8954,234.43687699999998,-94873.6403,-13598.458523,-108472.098823
26,-9984.1534,-84164.915,-14591.8481,243.752755,-94149.06839999999,-14348.095345,-108497.163745
27,-10044.0709,-84397.0505,-14278.6722,238.713812,-94441.1214,-14039.958388000001,-108481.079788
28,-10006.9181,-84335.7116,-14329.6798,237.1271715,-94342.62969999999,-14092.5526285,-108435.18232849998
29,-10038.688,-84140.7315,-14351.4555,235.66756,-94179.41949999999,-14115.78794,-108295.20743999998
30,-10075.7695,-84167.6793,-14391.2081,238.69496,-94243.4488,-14152.51314,-108395.96194000001
31,-10153.2182,-84278.8739,-14296.6838,235.02179700000002,-94432.09210000001,-14061.662003000001,-108493.75410300001
32,-10091.2198,-84331.7759,-14277.1474,235.99687450000002,-94422.9957,-14041.1505255,-108464.14622550001
33,-10152.4045,-84544.8454,-14159.4226,233.092994,-94697.24990000001,-13926.329606,-108623.57950600001
34,-10132.5716,-84059.0845,-14383.3579,234.2514705,-94191.6561,-14149.106429500001,-108340.76252949999
35,-10099.561,-84380.0446,-13973.7964,234.7455085,-94479.6056,-13739.0508915,-108218.6564915
36,-10082.4751,-84380.9281,-14109.4909,235.517405,-94463.4032,-13873.973495,-108337.376695
37,-10025.6508,-84374.9373,-14280.3345,238.3006845,-94400.58810000001,-14042.0338155,-108442.6219155
38,-10137.5502,-84050.9992,-14270.2555,237.99102050000002,-94188.5494,-14032.2644795,-108220.8138795
39,-10053.2149,-84654.4809,-13993.1916,236.2445785,-94707.6958,-13756.9470215,-108464.6428215
40,-10066.9771,-84454.4727,-14187.9625,242.70996200000002,-94521.4498,-13945.252537999999,-108466.702338
41,-10030.1665,-84455.1626,-13992.6357,238.532983,-94485.3291,-13754.102717000002,-108239.431817
42,-10116.1739,-84231.9002,-14140.2585,236.086482,-94348.0741,-13904.172018,-108252.246118
43,-10049.1143,-83829.742,-14617.5663,242.0117285,-93878.8563,-14375.5545715,-108254.4108715
44,-10091.6763,-84101.076,-14362.9172,239.5278285,-94192.7523,-14123.3893715,-108316.1416715
45,-10075.0056,-84243.9501,-14296.9603,240.966075,-94318.9557,-14055.994225,-108374.94992500001

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4.3355,229.4168,-38.9233,3.2949495000000004,225.0813,-35.628350499999996,189.45294950000002
1,-2.686,230.2575,-39.3078,3.1733815,227.5715,-36.1344185,191.43708149999998
2,-7.1992,228.6611,-39.7694,3.3105135000000003,221.4619,-36.4588865,185.00301350000004
3,-9.2945,227.2001,-38.6448,3.2497885,217.9056,-35.395011499999995,182.51058849999998
4,-6.151,235.1907,-41.8884,3.1849345000000002,229.03969999999998,-38.7034655,190.3362345
5,-3.5116,230.6314,-41.1936,3.2554135000000004,227.11980000000003,-37.9381865,189.18161350000003
6,-3.9607,236.0343,-40.8301,3.221923,232.0736,-37.608177000000005,194.465423
7,-5.5181,253.5482,-38.3522,3.2582855,248.0301,-35.093914500000004,212.9361855
8,-7.4454,233.8456,-41.1118,3.200677,226.40019999999998,-37.911123,188.48907699999998
9,-7.3882,229.2795,-39.9403,3.164264,221.8913,-36.776036,185.115264
10,-5.0641,231.9805,-41.2449,3.2402455,226.9164,-38.0046545,188.9117455
11,-7.2387,229.3695,-39.8368,3.2298605,222.1308,-36.606939499999996,185.52386049999998
12,-8.1962,232.375,-39.3171,3.224587,224.1788,-36.092513000000004,188.086287
13,-8.0347,235.3721,-38.6286,3.1980535,227.3374,-35.4305465,191.90685349999998
14,-8.5096,240.2319,-38.5521,3.2305455000000003,231.7223,-35.321554500000005,196.4007455
15,-8.8531,233.7675,-40.7661,3.236905,224.9144,-37.529195,187.385205
16,-9.9919,241.1084,-40.4414,3.166912,231.1165,-37.274488000000005,193.84201199999998
17,-6.4796,236.0395,-38.8475,3.2320585,229.5599,-35.615441499999996,193.9444585
18,-7.7773,231.9566,-39.1283,3.2240915,224.1793,-35.9042085,188.27509150000003
19,-7.1252,232.8574,-38.9536,3.2355465,225.7322,-35.7180535,190.0141465
20,-8.1206,234.4176,-40.6752,3.2210430000000003,226.297,-37.454156999999995,188.84284300000002
21,-9.4909,239.6324,-41.2015,3.230915,230.14149999999998,-37.970585,192.17091499999998
22,-6.4269,234.1414,-40.0127,3.1941085,227.71450000000002,-36.818591500000004,190.89590850000002
23,-4.6818,234.4647,-38.2332,3.1613580000000003,229.78289999999998,-35.071842,194.71105799999998
24,-2.3891,232.7594,-39.7008,3.1915285,230.3703,-36.509271500000004,193.86102849999997
25,-8.7807,235.2214,-40.9337,3.232622,226.4407,-37.701078,188.739622
26,-7.9521,243.7568,-38.5795,3.167059,235.8047,-35.412441,200.392259
27,-5.09,242.6031,-38.8165,3.1173625,237.5131,-35.6991375,201.81396250000003
28,-5.773,228.8025,-39.7287,3.188237,223.0295,-36.540463,186.489037
29,-7.6138,243.9092,-39.9765,3.1650234999999998,236.2954,-36.811476500000005,199.48392349999997
30,-8.2652,248.7978,-39.0634,3.1162425000000002,240.5326,-35.9471575,204.5854425
31,-6.0017,231.6493,-42.9567,3.229968,225.6476,-39.726732,185.920868
32,-6.6368,233.178,-38.1226,3.2066475000000003,226.5412,-34.915952499999996,191.6252475
33,-7.2931,231.4477,-39.9839,3.2012765,224.1546,-36.7826235,187.3719765
34,-5.8902,233.1035,-40.9525,3.209423,227.2133,-37.743077,189.470223
35,-7.3929,234.1495,-42.3632,3.170324,226.7566,-39.192876,187.56372399999998
36,-4.0599,242.9853,-36.7398,3.1691845,238.9254,-33.5706155,205.3547845
37,-4.3769,240.4675,-37.0227,3.213037,236.0906,-33.809663,202.280937
38,-7.8413,227.9245,-38.6116,3.205603,220.0832,-35.405997,184.677203
39,-5.3149,241.3738,-37.8458,3.2009070000000004,236.0589,-34.644892999999996,201.414007
40,-5.9048,227.5421,-38.6546,3.2076365,221.6373,-35.4469635,186.19033650000003
41,-6.6261,233.077,-39.6825,3.2583485000000003,226.4509,-36.424151499999994,190.0267485
42,-5.0695,240.1452,-36.1945,3.155303,235.07569999999998,-33.039197,202.03650299999998
43,-8.0009,250.5611,-35.188,3.1377010000000003,242.5602,-32.050299,210.509901
44,-9.7473,233.0566,-39.7867,3.19443,223.3093,-36.592270000000006,186.71703000000002
45,-8.0042,246.3202,-38.5081,3.174809,238.316,-35.333290999999996,202.98270900000003

DELTA Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,DELTA G gas,DELTA G solv,DELTA TOTAL
0,-79.48450000000153,-30.678099999998295,45.2998000000003,-6.281525999999984,-110.16260000000528,39.01827399999898,-71.14432600000632
1,-74.83229999999972,-56.509900000012124,62.681700000000504,-6.153854499999989,-131.34220000002276,56.527845500000886,-74.81435450002004
2,-76.6166000000003,-53.15850000000748,64.23229999999862,-6.398969500000009,-129.77510000000416,57.83333049999731,-71.94176949998868
3,-76.42740000000046,-50.4659999999985,62.181700000000966,-6.304908499999988,-126.8934000000026,55.87679150000007,-71.0166085000007
4,-73.33420000000099,-38.180099999991285,55.168099999999136,-6.171357000000004,-111.5142999999868,48.99674299999902,-62.517556999993246
5,-74.61139999999959,-47.62020000000646,59.11010000000118,-6.297575500000019,-122.23160000001334,52.812524500001444,-69.41907550000462
6,-77.03499999999948,-48.24390000000196,63.37729999999907,-6.318618000000011,-125.27890000000144,57.05868199999889,-68.22021800000073
7,-73.04209999999989,-41.30960000000306,48.04380000000011,-6.1619575,-114.35169999999567,41.88184250000156,-72.46985749999047
8,-71.58889999999934,-52.57300000000339,65.1701999999999,-6.440428500000012,-124.16190000000273,58.72977150000057,-65.43212849999853
9,-68.40579999999987,-52.302099999996614,60.432899999999584,-6.231673499999997,-120.70789999999101,54.20122649999828,-66.50667349997818
10,-71.8029000000002,-54.864499999990926,67.97620000000128,-6.110981999999993,-126.6673999999893,61.865218000000354,-64.80218199999075
11,-72.85069999999894,-45.24390000000059,58.372399999999246,-6.388561500000008,-118.09459999999771,51.98383849999895,-66.11076150001693
12,-72.19030000000052,-52.51589999999851,57.5585000000008,-6.213638499999959,-124.70619999999175,51.344861500001976,-73.36133849999342
13,-74.68490000000035,-48.75259999999929,56.49409999999988,-6.1420135000000045,-123.43749999999602,50.352086500001185,-73.08541350000027
14,-74.57810000000003,-56.14420000001087,68.14169999999933,-6.214206999999982,-130.72230000001454,61.92749299999896,-68.79480700001741
15,-75.39189999999898,-56.104799999999244,61.88639999999868,-6.3790255000000045,-131.49669999999458,55.50737449999808,-75.98932549999287
16,-68.36020000000006,-57.886199999996194,65.81360000000161,-6.1066124999999865,-126.24639999998536,59.706987500000636,-66.53941249997925
17,-75.5834000000001,-52.5455999999987,59.92719999999841,-6.031513499999966,-128.12899999999334,53.8956864999981,-74.2333134999916
18,-66.05709999999974,-60.74609999999896,65.6259000000006,-6.197711500000011,-126.80319999999142,59.42818849999994,-67.37501149999332
19,-66.63810000000052,-56.389100000006835,62.9538999999997,-6.166033499999971,-123.02719999999826,56.78786650000007,-66.2393334999891
20,-69.29780000000048,-51.67569999999182,62.59050000000057,-6.200559500000045,-120.9735000000014,56.389940500000975,-64.58355949998952
21,-79.30280000000018,-59.0004000000022,70.86010000000067,-6.175002000000024,-138.3031999999969,64.6850980000008,-73.61810199998337
22,-74.77860000000003,-58.21510000000811,67.5186000000001,-6.454934500000009,-132.9937000000045,61.06366550000039,-71.93003449999867
23,-72.36180000000088,-47.23680000000195,57.45530000000086,-6.3555370000000195,-119.59860000000646,51.099763000000785,-68.49883700000566
24,-77.55689999999991,-47.03869999999469,63.471100000000135,-6.431467000000023,-124.59559999999095,57.03963300000117,-67.55596700000433
25,-76.11910000000105,-51.64579999998895,69.92999999999888,-6.267300999999983,-127.76490000000274,63.66269899999856,-64.10220100000782
26,-73.61889999999991,-49.3476000000054,67.76899999999858,-6.313782500000007,-122.96650000000167,61.45521749999858,-61.51128249998126
27,-77.30769999999953,-40.1725999999978,59.32840000000133,-6.1398679999999946,-117.4802999999846,53.18853200000216,-64.29176799999155
28,-73.12019999999862,-43.38410000000499,60.195599999999445,-6.097744999999988,-116.50430000001089,54.0978549999988,-62.40644500000843
29,-78.28319999999903,-39.26690000000775,56.19510000000015,-6.245639499999992,-117.55010000001951,49.949460500000875,-67.60063950003317
30,-80.25209999999953,-38.6499000000037,55.908300000000054,-6.336204000000011,-118.9020000000105,49.57209599999919,-69.32990399999858
31,-77.06370000000132,-36.01189999999312,62.23940000000157,-6.125922500000016,-113.07559999998534,56.11347750000178,-56.962122499985384
32,-71.92279999999869,-34.91450000001362,55.94480000000052,-6.143270499999998,-106.83730000000685,49.8015294999991,-57.035770499984096
33,-75.6472999999995,-39.04859999999036,61.685899999999315,-6.270700999999997,-114.69589999998257,55.41519899999798,-59.28070099998277
34,-76.45350000000127,-39.47689999999676,59.206900000001625,-6.0863125000000045,-115.93040000000894,53.120587500002244,-62.809812500013976
35,-73.99779999999993,-46.07710000000998,60.8095999999989,-6.27721499999999,-120.07490000001354,54.53238499999945,-65.5425150000159
36,-72.1839000000002,-68.23040000000009,73.47150000000028,-6.076729,-140.41429999999664,67.39477100000042,-73.01952899999804
37,-76.9420000000002,-41.57239999999118,55.04240000000074,-6.211784999999978,-118.51439999998956,48.83061500000076,-69.6837849999979
38,-76.92120000000072,-38.11819999998889,54.78969999999918,-6.155591000000019,-115.03939999998599,48.63410899999887,-66.40529099998892
39,-71.97479999999936,-48.145700000007,67.52680000000049,-6.057946999999984,-120.1205000000009,61.46885299999971,-58.651646999992096
40,-73.18750000000026,-42.204600000005826,56.781799999998995,-6.176998499999989,-115.39209999999517,50.60480149999736,-64.78729849999601
41,-71.9291000000007,-43.2077000000088,58.007900000001534,-6.25983050000001,-115.13679999999675,51.74806950000186,-63.388730499987616
42,-76.8070000000003,-42.38469999999603,64.42789999999917,-6.172660999999973,-119.19170000000906,58.2552389999982,-60.93646100000905
43,-79.34940000000006,-32.92450000000201,49.87670000000061,-6.10815800000001,-112.27390000000753,43.76854200000117,-68.50535800001182
44,-73.0498000000016,-37.73960000000454,58.187799999999136,-6.074710499999998,-110.78940000001523,52.11308949999957,-58.67631050002842
45,-75.15789999999956,-45.58470000000477,57.598200000001256,-6.185945499999992,-120.74260000000615,51.412254500000095,-69.33034550000971


